,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
160,Hobart,75,AU,1546920000,60,-42.88,147.33,294.15,9.3
161,Nanortalik,88,GL,1546922430,88,60.14,-45.24,274.561,9.61
162,Saint George,20,GR,1546921200,67,39.45,22.34,268.15,5.1
163,Pochutla,40,MX,1546919100,74,15.74,-96.47,299.15,0.86
164,Klaksvik,20,FO,1546921200,59,62.23,-6.59,276.15,8.2
165,Mahebourg,75,MU,1546920000,74,-20.41,57.7,302.15,7.2
166,Hearst,88,CA,1546922437,83,49.69,-83.67,268.611,3.31
167,Mar del Plata,12,AR,1546922439,62,-46.43,-67.52,283.511,10.31
168,Texarkana,20,US,1546919580,100,33.44,-94.04,288.75,4.1
169,Chapais,90,CA,1546920000,65,49.78,-74.86,259.15,7.2
170,Andros Town,20,BS,1546920000,83,24.73,-77.79,294.15,1.0
171,Asyut,0,EG,1546920000,86,27.18,31.19,278.15,2.1
172,Winnemucca,1,US,1546919760,81,40.97,-117.74,274.25,2.6
173,Darapidap,0,PH,1546922448,59,17.21,120.41,300.611,1.76
174,Aklavik,75,CA,1546920000,67,68.22,-135.01,243.15,1.41
175,Flinders,68,AU,1546920000,65,-34.58,150.85,301.15,3.6
176,Waddan,80,LY,1546922452,93,29.16,16.14,275.711,0.96
177,Khatanga,20,RU,1546922454,28,71.98,102.47,244.486,4.11
178,Mogok,92,MM,1546922455,99,22.92,96.51,288.311,1.01
179,College,20,US,1546919880,67,64.86,-147.8,234.85,1.36
180,Mandalgovi,0,MN,1546922458,59,45.76,106.27,260.761,4.91
181,Touros,75,BR,1546920000,88,-5.2,-35.46,298.15,1.5
182,Ongandjera,32,NA,1546922386,28,-17.88,15.07,295.711,2.46
183,Vila Franca do Campo,40,PT,1546920000,87,37.72,-25.43,289.15,7.2
184,Katsuura,40,JP,1546920000,71,33.93,134.5,285.15,7.2
185,Nehe,0,CN,1546922466,33,48.48,124.88,261.211,4.16
186,Concarneau,90,FR,1546920000,81,47.88,-3.92,283.15,4.6
187,Juneau,90,US,1546921500,84,58.3,-134.42,266.45,2.1
188,Maragogi,48,BR,1546922436,100,-9.01,-35.22,295.386,0.86
189,Tornio,90,FI,1546921200,100,61.12,27.27,270.15,2.6
190,Kamaishi,75,JP,1546920000,69,39.28,141.86,275.15,2.6
191,Boa Vista,90,BR,1546920000,69,2.82,-60.67,299.15,6.2
192,Clyde River,90,CA,1546920000,83,70.47,-68.59,248.15,8.7
193,Wajir,8,KE,1546922480,38,1.75,40.07,302.761,3.21
194,Iquique,0,CL,1546920000,77,-20.22,-70.14,294.15,4.6
195,Great Yarmouth,88,GB,1546921200,81,52.61,1.73,280.15,7.2
196,Sitangkai,12,PH,1546922485,97,4.66,119.39,302.111,5.26
197,Wanning,75,AT,1546921200,97,48.64,13.53,274.15,4.1
198,Cairns,40,AU,1546920000,66,-16.92,145.77,304.15,4.6
199,Namatanai,56,PG,1546922489,95,-3.66,152.44,302.611,5.56
200,Lebu,0,ET,1546922490,27,8.96,38.73,285.736,1.81
201,Coquimbo,90,CL,1546920000,77,-29.95,-71.34,291.15,2.1
202,Alofi,92,NU,1546920000,88,-19.06,-169.92,300.15,4.1
203,Champerico,40,MX,1546919460,73,16.38,-93.6,296.15,1.5
204,Yangambi,88,CD,1546922496,100,0.77,24.47,294.861,1.41
205,Muroto,75,JP,1546920000,35,33.37,134.14,286.15,3.1
206,Songjianghe,48,CN,1546922500,61,42.18,127.48,256.886,3.56
207,Dikson,68,RU,1546922501,94,73.51,80.55,252.661,5.71
208,Husavik,68,CA,1546922503,82,50.56,-96.99,265.636,7.61
209,Qaqortoq,92,GL,1546922504,83,60.72,-46.03,275.761,10.81
210,Katobu,12,ID,1546922506,76,-4.94,122.53,304.586,1.96
211,Talaya,75,RU,1546920000,85,55.79,84.89,263.15,8.0
212,Trebukhiv,75,UA,1546920000,100,50.48,30.9,260.15,1.0
213,Port Elizabeth,1,US,1546919760,77,39.31,-74.98,277.05,3.26
214,Rawson,56,AR,1546922512,37,-43.3,-65.11,289.611,8.81
215,Yiyang,100,CN,1546922514,100,28.59,112.35,277.361,4.66
216,Nioro,92,GM,1546922515,40,13.79,-15.05,292.761,2.91
217,Kaeo,8,NZ,1546922517,39,-35.1,173.78,300.636,1.81
218,Bethel,90,US,1546920600,87,60.79,-161.76,258.15,4.6
219,Chuy,0,UY,1546922520,95,-33.69,-53.46,291.586,1.91
220,Jodiya,0,IN,1546922522,100,22.69,70.31,292.386,4.61
221,Lagoa,0,PT,1546920000,86,37.14,-8.45,278.15,3.6
222,Orlik,8,RU,1546922525,51,52.51,99.83,261.636,2.16
223,Soyo,88,AO,1546922526,97,-6.13,12.37,298.011,1.61
224,Kajaani,90,FI,1546921200,92,64.22,27.73,268.15,2.6
225,Nelson Bay,0,AU,1546920000,38,-32.72,152.14,305.15,4.6
226,Siderno,5,IT,1546919700,91,38.28,16.3,282.15,0.5
227,Emilio Carranza,56,MX,1546922532,94,19.97,-96.61,290.111,1.06
228,Hami,0,CN,1546922534,65,42.84,93.51,266.761,1.71
229,Sambava,92,MG,1546922536,100,-14.27,50.17,299.736,1.51
230,Nome,40,US,1546920900,83,30.04,-94.42,290.35,2.1
231,Tarko-Sale,36,RU,1546922539,67,64.92,77.78,252.636,5.36
232,Moindou,0,NC,1546921800,55,-21.69,165.68,303.15,11.8
233,Jieshi,80,CN,1546922542,85,22.82,115.83,292.111,4.81
234,Makokou,64,GA,1546922543,97,0.56,12.85,294.586,0.96
235,Udachnyy,48,RU,1546922545,62,66.42,112.4,250.461,1.71
236,Pointe-Noire,20,CG,1546920000,100,-4.8,11.85,297.15,1.71
237,Codrington,40,AU,1546920000,65,-28.95,153.24,300.15,2.6
238,Murmino,48,RU,1546922550,81,54.6,40.05,257.486,5.16
239,San Quintin,0,PH,1546922551,59,17.54,120.52,300.611,1.76
240,Mosquera,40,CO,1546920000,87,4.71,-74.23,285.15,1.0
241,Constitucion,24,MX,1546922554,79,23.99,-104.67,282.311,2.06
242,La Orilla,92,MX,1546922556,100,18.0,-102.23,296.986,1.31
243,Shaki,0,NG,1546922557,72,7.9,4.77,289.636,1.41
244,Liverpool,75,GB,1546921200,75,53.41,-2.98,281.15,8.2
245,Mount Isa,40,AU,1546920000,13,-20.73,139.49,313.15,3.1
246,San Patricio,92,PY,1546922562,97,-26.98,-56.83,296.611,1.96
247,Casma,64,PE,1546922563,100,-9.47,-78.3,294.861,3.31
248,Oriximina,92,BR,1546922565,91,-1.77,-55.87,298.311,1.91
249,Mecca,8,SA,1546922566,48,21.43,39.83,292.311,2.06
250,Honiara,76,SB,1546922568,89,-9.43,159.96,300.086,1.26
251,Basco,1,US,1546922100,75,40.33,-91.2,283.35,2.6
252,Waipawa,0,NZ,1546922528,45,-39.94,176.59,297.111,1.06
253,Namibe,92,AO,1546922397,100,-15.19,12.15,295.636,0.96
254,Airai,36,TL,1546922574,86,-8.93,125.41,299.061,0.76
255,Georgetown,20,GY,1546920000,94,6.8,-58.16,297.15,2.1
256,Aguas Vermelhas,32,BR,1546922577,96,-15.75,-41.46,291.611,3.21
257,Batsfjord,20,NO,1546921200,85,70.63,29.72,268.15,2.1
258,Vrangel,8,RU,1546922580,100,42.73,133.08,266.411,8.96
259,Belmonte,0,PT,1546922581,71,40.36,-7.35,269.311,2.51
260,Axim,56,GH,1546922583,100,4.87,-2.24,300.336,2.31
261,Varazdin,68,HR,1546920000,92,46.3,16.34,270.15,0.5
262,Kavieng,76,PG,1546922586,98,-2.57,150.8,302.736,5.26
263,Karratha,0,AU,1546922587,14,-20.74,116.85,315.636,5.21
264,Los Llanos de Aridane,44,ES,1546920000,67,28.66,-17.92,290.15,4.6
265,Laguna,32,MX,1546922591,91,27.52,-110.01,286.711,1.06
266,Uelzen,75,DE,1546921200,87,52.97,10.56,279.15,8.2
267,Viedma,8,AR,1546922594,26,-40.81,-62.99,295.986,8.01
268,Cayenne,90,GF,1546920000,83,4.94,-52.33,297.15,4.01
269,Kibakwe,64,TZ,1546922597,97,-6.71,36.37,293.086,1.61
270,Bam,0,IR,1546922598,38,29.11,58.36,289.136,1.01
271,Manicore,48,BR,1546922600,96,-5.81,-61.3,296.911,0.96
272,Prince Albert,90,CA,1546920000,71,53.2,-105.75,258.15,7.7
273,Satun,75,TH,1546920000,55,6.62,100.07,306.15,5.7
274,Alto Araguaia,12,BR,1546922605,80,-17.32,-53.22,294.886,3.11
275,Conde,92,BR,1546922607,91,-11.81,-37.61,298.211,3.46
276,Almaznyy,75,RU,1546920000,85,48.03,40.04,268.15,8.0
277,Houston,1,US,1546920900,82,29.76,-95.37,292.55,3.6
278,Santa Marta,40,CO,1546920000,83,11.24,-74.21,300.15,3.1
279,Kiruna,44,SE,1546921200,73,67.86,20.23,268.15,3.1
280,Zheleznodorozhnyy,75,RU,1546920000,85,55.75,38.0,263.15,4.0
281,Cap Malheureux,75,MU,1546920000,74,-19.98,57.61,302.15,7.2
282,Rabat,0,MA,1546920000,93,34.02,-6.83,277.15,2.6
283,Mayo,75,CA,1546920000,73,63.59,-135.9,236.15,1.5
284,Dubbo,8,AU,1546920000,23,-32.25,148.6,307.15,6.2
285,Cedral,44,MX,1546922623,78,23.82,-100.72,283.061,1.21
286,Saint-Augustin,90,FR,1546920000,93,44.83,-0.61,279.15,2.1
287,Bell Ville,0,AR,1546922626,87,-32.63,-62.69,293.661,6.01
288,San Rafael del Sur,20,NI,1546920000,69,11.85,-86.44,299.15,6.2
289,Maniitsoq,92,GL,1546922629,100,65.42,-52.9,265.236,2.91
290,Marawi,20,PH,1546922630,43,8.0,124.29,304.136,2.06
291,Yulara,0,AU,1546920000,8,-25.24,130.99,309.15,5.7
292,Deputatskiy,48,RU,1546922633,0,69.3,139.9,232.386,1.21
293,Palmer,90,US,1546922100,83,61.6,-149.11,259.25,1.5
294,Chokurdakh,64,RU,1546922636,41,70.62,147.9,240.611,1.31
295,Caravelas,80,BR,1546922638,100,-17.73,-39.27,299.486,6.41
296,Saint-Pierre,90,FR,1546920000,100,48.95,4.24,282.15,6.7
297,Yerbogachen,56,RU,1546922641,73,61.28,108.01,260.711,2.66
298,Yaan,0,NG,1546922642,33,7.38,8.57,291.986,4.36
299,Tefe,24,BR,1546922644,96,-3.35,-64.71,297.836,2.01
300,Rio Grande,44,BR,1546922645,97,-32.03,-52.1,294.986,2.66
301,Aquiraz,40,BR,1546920000,94,-3.9,-38.39,299.15,2.1
302,Inhambane,20,MZ,1546920000,94,-23.87,35.38,294.15,2.06
303,Bandarbeyla,88,SO,1546922650,100,9.49,50.81,297.561,6.86
304,Chumikan,0,RU,1546922652,57,54.72,135.31,252.086,6.71
305,Tamiahua,76,MX,1546922653,90,21.28,-97.45,296.336,3.11
306,Kaitangata,0,NZ,1546922655,57,-46.28,169.85,292.061,4.86
307,Effium,0,NG,1546920000,56,6.63,8.06,293.15,2.6
308,Cidreira,92,BR,1546922658,96,-30.17,-50.22,296.961,5.36
309,Aksarka,32,RU,1546922659,32,66.56,67.8,243.011,1.31
310,Canton,90,US,1546922160,62,40.8,-81.38,287.05,4.1
311,Mersing,92,MY,1546922662,84,2.43,103.84,301.911,3.96
312,Anadyr,0,RU,1546920000,60,64.73,177.51,261.15,16.0
313,Guiratinga,36,BR,1546922665,85,-16.35,-53.76,295.836,2.16
314,Tuatapere,0,NZ,1546922667,74,-46.13,167.69,290.461,4.66
315,San Nicolas,92,HN,1546922668,96,14.94,-88.33,290.311,0.76
316,Apiai,0,BR,1546922670,82,-24.51,-48.84,294.611,1.16
317,Aldan,64,RU,1546922671,62,58.61,125.39,255.011,1.31
318,Priiskovyy,0,RU,1546922673,48,51.93,116.63,258.236,5.51
319,Itapira,44,BR,1546922674,83,-22.44,-46.82,293.611,2.01
320,Fortuna,20,ES,1546920000,87,38.18,-1.13,281.15,3.1
321,Walvis Bay,90,NA,1546920000,87,-22.95,14.51,289.15,1.0
322,Vanimo,0,PG,1546922678,99,-2.67,141.3,301.636,8.61
323,Torbay,90,CA,1546920000,79,47.66,-52.73,268.15,9.8
324,Taganak,75,PH,1546920000,79,6.08,118.3,302.15,4.1
325,Hasaki,75,JP,1546921800,39,35.73,140.83,283.15,3.6
326,Jurm,80,AF,1546922685,88,36.86,70.83,265.761,0.26
327,Sangar,0,RU,1546922686,0,63.92,127.47,235.386,1.41
328,Thinadhoo,68,MV,1546922688,100,0.53,72.93,301.136,6.46
329,Calama,0,CL,1546920000,66,-22.46,-68.93,285.15,2.1
330,Arlit,8,NE,1546922691,66,18.74,7.39,279.336,2.36
331,Iqaluit,5,CA,1546920000,67,63.75,-68.52,240.15,2.6
332,Dongsheng,88,CN,1546922693,73,29.72,112.52,279.761,4.66
333,San Onofre,0,CO,1546922695,86,9.74,-75.52,298.861,4.36
334,Barstow,1,US,1546920900,42,31.46,-103.39,284.45,4.6
335,Winneba,88,GH,1546920000,73,5.35,-0.62,298.15,2.6
336,Lasa,75,CY,1546920000,87,34.92,32.53,285.15,4.1
337,Saint-Joseph,0,FR,1546920000,92,43.56,6.97,271.15,0.5
338,Kouroussa,36,GN,1546922703,56,10.65,-9.88,289.311,3.41
339,Nacala,24,MZ,1546922705,90,-14.56,40.69,302.361,6.06
340,Ayorou,0,NE,1546922707,61,14.73,0.92,285.511,5.01
341,Aksu,75,KZ,1546920000,84,52.04,76.93,255.15,1.66
342,Hornepayne,92,CA,1546922710,96,49.22,-84.78,270.461,1.96
343,Point Fortin,20,TT,1546920000,83,10.16,-61.68,297.15,2.6
344,Roanne,90,FR,1546920000,80,46.04,4.07,277.15,2.6
345,Rock Sound,92,BS,1546922715,100,24.9,-76.2,297.061,7.31
346,Leningradskiy,0,RU,1546922716,82,69.38,178.42,250.661,9.51
347,Coahuayana,0,MX,1546922718,81,18.62,-100.35,287.886,0.86
348,Lompoc,1,US,1546920900,89,34.64,-120.46,287.05,2.6
349,Miraflores,88,CO,1546922721,100,5.2,-73.14,284.086,0.16
350,Buala,64,SB,1546922694,95,-8.15,159.59,300.861,3.66
351,Palu,88,ID,1546922724,91,-0.9,119.87,295.236,0.61
352,Chifeng,0,CN,1546922726,18,42.27,118.96,265.511,4.76
353,Mareeba,40,AU,1546920000,66,-16.99,145.42,304.15,4.6
354,Amga,24,RU,1546922730,64,60.89,131.98,247.136,1.16
355,Iranshahr,44,IR,1546920000,62,27.21,60.69,287.15,1.26
356,Lavrentiya,0,RU,1546922735,77,65.58,-170.99,255.211,12.66
357,Mubarakpur,8,IN,1546922736,100,26.09,83.29,289.511,2.86
358,Lishu,0,CN,1546922738,39,43.31,124.32,261.761,6.01
359,Haines Junction,8,CA,1546922739,0,60.75,-137.51,233.911,0.86
360,Sinnamary,88,GF,1546922692,100,5.38,-52.96,298.486,5.66
361,Turukhansk,56,RU,1546922742,86,65.8,87.96,256.461,6.41
362,Pocao de Pedras,100,BR,1546922744,87,-4.67,-44.85,296.811,1.51
363,Osakarovka,80,KZ,1546922745,83,50.56,72.58,261.836,3.91
364,Chilca,40,PE,1546920000,71,-13.22,-72.34,285.15,0.11
365,Eyl,56,SO,1546922748,94,7.98,49.82,297.636,6.36
366,Shebunino,90,RU,1546920000,85,57.66,40.04,265.15,5.0
367,Oranjemund,88,ZA,1546922751,96,-28.55,16.43,290.061,3.91
368,Salalah,20,OM,1546919400,69,17.01,54.1,296.15,2.6
369,Miguel Hidalgo,40,MX,1546919400,36,19.41,-99.19,289.15,3.6
370,Camocim,80,BR,1546922756,100,-2.9,-40.84,295.486,1.86
371,Half Moon Bay,90,US,1546922400,87,37.46,-122.43,286.15,7.46
372,Lata,24,IN,1546922759,72,30.78,78.62,279.136,0.61
373,Kingaroy,40,AU,1546920000,42,-26.54,151.84,301.15,3.6
374,Komsomolskiy,12,RU,1546922745,55,67.55,63.78,248.986,4.56
375,Huaicheng,92,CN,1546922763,85,23.91,112.19,285.161,2.06
